UMAP1,UMAP2,ID,height_above,labels_k2,labels_k3,labels_k4,labels_k5,labels_k6,labels_k7,labels_k8,labels_k9,labels_k10
9.564468,11.066371,6412,0.85344,1,0,0,0,1,0,1,1,0
3.1570265,11.678784,5485,0.0,1,0,0,0,5,5,5,5,5
6.024732,13.751736,7374,0.103632,1,0,0,0,1,0,1,1,0
9.9756975,11.091175,6261,1.429512,1,0,0,0,1,0,1,1,0
10.126762,10.896708,6189,2.35458,1,0,0,0,1,0,1,1,0
6.2387166,2.5738769,3482,0.0,0,1,1,1,0,2,2,0,1
11.300663,5.30034,3594,0.536448,0,1,1,1,0,2,2,0,4
12.362885,24.314873,7555,0.499872,1,0,0,4,4,4,4,4,9
8.763046,16.696112,7337,0.0,1,0,0,0,1,0,3,3,3
12.757607,-2.7414317,14059,0.73152,0,1,1,1,0,1,0,2,2
9.195482,16.45303,7286,0.402336,1,0,0,0,1,0,3,3,3
10.158364,0.90832186,4035,0.0,0,1,1,1,0,2,2,0,1
0.2052247,12.905428,6545,0.4572,1,0,0,0,5,5,5,5,5
16.752201,9.567777,2713,1.3716,0,2,2,2,2,6,6,6,6
16.52608,10.457199,2694,0.088392,0,2,2,2,2,6,6,6,6
8.840546,1.648456,3325,0.2286,0,1,1,1,0,2,2,0,1
10.715969,1.5782874,3950,0.3048,0,1,1,1,0,2,2,0,1
2.7713993,12.035319,5329,0.5344159999999999,1,0,0,0,5,5,5,5,5
6.0709696,13.7267885,7656,0.42672,1,0,0,0,1,0,1,1,0
0.5662995,11.656212,6477,0.569976,1,0,0,0,5,5,5,5,5
6.762744,11.913906,9766,1.133856,1,0,0,0,1,0,1,1,0
11.209708,2.598926,4216,0.0,0,1,1,1,0,2,2,0,1
-7.436354,6.6733646,5420,1.039368,1,0,3,3,3,3,7,7,7
9.11429,17.35865,7287,1.13538,1,0,0,0,1,0,3,3,3
11.319577,5.023461,4554,0.67056,0,1,1,1,0,2,2,0,4
7.489268,2.8712528,14711,0.35052,0,1,1,1,0,2,2,0,1
16.38746,9.922133,2754,1.6764,0,2,2,2,2,6,6,6,6
17.142748,10.338247,2738,0.51816,0,2,2,2,2,6,6,6,6
9.110564,17.405043,7323,0.03048,1,0,0,0,1,0,3,3,3
5.93019,17.48536,7642,0.509016,1,0,0,0,1,0,3,3,3
10.278441,17.439152,7424,0.0,1,0,0,0,1,0,3,3,3
15.424324,23.046778,7421,1.298448,1,0,0,4,4,4,4,4,9
16.346638,10.446352,2743,2.112264,0,2,2,2,2,6,6,6,6
10.013141,17.060076,7241,0.094488,1,0,0,0,1,0,3,3,3
8.924079,16.871984,7334,0.0,1,0,0,0,1,0,3,3,3
0.92630893,12.204154,6173,0.0,1,0,0,0,5,5,5,5,5
16.12484,9.760482,2818,1.524,0,2,2,2,2,6,6,6,6
1.9538059,12.991447,6075,1.408176,1,0,0,0,5,5,5,5,5
17.185526,10.355737,2736,0.576072,0,2,2,2,2,6,6,6,6
10.832629,1.825029,3948,1.78308,0,1,1,1,0,2,2,0,1
5.761354,13.187571,7362,1.487424,1,0,0,0,1,0,1,1,0
15.618223,9.677026,2759,1.3716,0,2,2,2,2,6,6,6,6
5.727615,13.153971,7247,0.32512,1,0,0,0,1,0,1,1,0
16.20185,9.419053,2744,1.335024,0,2,2,2,2,6,6,6,6
-8.101575,10.579569,8107,0.39624,1,0,3,3,3,3,7,7,7
2.183581,13.628196,6115,0.70104,1,0,0,0,5,5,5,5,5
5.420674,13.1836,7482,0.140208,1,0,0,0,1,0,1,1,0
16.383768,8.466963,2850,2.33172,0,2,2,2,2,6,6,6,6
16.146954,10.42244,2752,0.06096,0,2,2,2,2,6,6,6,6
8.904407,16.094315,7320,0.0,1,0,0,0,1,0,3,3,3
13.352763,11.226002,14855,1.078992,0,2,2,2,2,6,6,6,6
5.5629754,12.79759,7250,0.381,1,0,0,0,1,0,1,1,0
-0.82891893,14.601606,8059,0.0,1,0,0,0,5,5,5,5,5
16.854115,11.094576,2731,1.289304,0,2,2,2,2,6,6,6,6
9.597882,7.519037,4387,0.2621279999999999,0,1,1,1,0,2,2,0,4
7.2931614,18.172752,7627,0.92964,1,0,0,0,1,0,3,3,3
12.044627,23.866404,7526,0.972312,1,0,0,4,4,4,4,4,9
7.026674,17.794943,7629,1.0668,1,0,0,0,1,0,3,3,3
10.399542,0.9079439,3911,0.0,0,1,1,1,0,2,2,0,1
10.320915,10.687719,7887,0.762,1,0,0,0,1,0,1,1,0
2.8053,11.994877,5477,0.3048,1,0,0,0,5,5,5,5,5
4.8873267,16.575792,7620,0.8382,1,0,0,0,1,0,3,3,3
6.2664795,-4.855974,796,0.4754879999999999,0,1,1,1,0,1,0,8,8
0.42779577,11.446513,6253,0.728472,1,0,0,0,5,5,5,5,5
