ID,S1_Date,peak_date,precipitation
2545,2016-10-10,10/12/2016 4:00:00 PM,0.0
2546,2016-10-10,10/12/2016 4:00:00 PM,0.0
2547,2016-10-10,10/12/2016 4:00:00 PM,0.0
2548,2016-10-10,10/12/2016 4:00:00 PM,0.0
2549,2016-10-10,10/12/2016 4:00:00 PM,0.0
2550,2016-10-10,10/12/2016 4:00:00 PM,0.0
2552,2016-10-10,10/12/2016 4:00:00 PM,0.0
2555,2016-10-10,10/12/2016 4:00:00 PM,0.0
2687,2016-10-10,10/12/2016 4:00:00 PM,0.0
2688,2016-10-10,10/12/2016 4:00:00 PM,0.0
2689,2016-10-10,10/12/2016 4:00:00 PM,0.0
2690,2016-10-10,10/12/2016 4:00:00 PM,0.0
2691,2016-10-10,10/12/2016 4:00:00 PM,0.0
2692,2016-10-10,10/12/2016 4:00:00 PM,0.0
2693,2016-10-10,10/12/2016 4:00:00 PM,0.0
2694,2016-10-10,10/12/2016 4:00:00 PM,0.0
2695,2016-10-10,10/12/2016 4:00:00 PM,0.0
2704,2016-10-10,10/12/2016 4:00:00 PM,0.0
2705,2016-10-10,10/12/2016 4:00:00 PM,0.0
2706,2016-10-10,10/12/2016 4:00:00 PM,0.0
2707,2016-10-10,10/12/2016 4:00:00 PM,0.0
2708,2016-10-10,10/12/2016 4:00:00 PM,0.0
2709,2016-10-10,10/12/2016 4:00:00 PM,0.0
2710,2016-10-10,10/12/2016 4:00:00 PM,0.0
2711,2016-10-10,10/12/2016 4:00:00 PM,0.0
2712,2016-10-10,10/12/2016 4:00:00 PM,0.0
2713,2016-10-10,10/12/2016 4:00:00 PM,0.0
2714,2016-10-10,10/12/2016 4:00:00 PM,0.0
2715,2016-10-10,10/12/2016 4:00:00 PM,0.0
2716,2016-10-10,10/12/2016 4:00:00 PM,0.0
2725,2016-10-04,10/11/2016 4:00:00 PM,0.0
2726,2016-10-04,10/11/2016 4:00:00 PM,0.0
2727,2016-10-04,10/11/2016 4:00:00 PM,0.0
2728,2016-10-04,10/11/2016 4:00:00 PM,0.0
2729,2016-10-04,10/11/2016 4:00:00 PM,0.0
2730,2016-10-04,10/11/2016 4:00:00 PM,0.0
2731,2016-10-04,10/11/2016 4:00:00 PM,0.0
2732,2016-10-04,10/11/2016 4:00:00 PM,0.0
2733,2016-10-04,10/11/2016 4:00:00 PM,0.0
2734,2016-10-04,10/11/2016 4:00:00 PM,0.0
2735,2016-10-04,10/11/2016 4:00:00 PM,0.0
2736,2016-10-04,10/11/2016 4:00:00 PM,0.0
2737,2016-10-10,10/12/2016 4:00:00 PM,0.0
2738,2016-10-04,10/11/2016 4:00:00 PM,0.0
2739,2016-10-10,10/12/2016 4:00:00 PM,0.0
2740,2016-10-10,10/12/2016 4:00:00 PM,0.0
2741,2016-10-10,10/12/2016 4:00:00 PM,0.0
2742,2016-10-04,10/11/2016 4:00:00 PM,0.0
2743,2016-10-04,10/11/2016 4:00:00 PM,0.0
2744,2016-10-10,10/12/2016 4:00:00 PM,0.0
2745,2016-10-10,10/12/2016 4:00:00 PM,0.0
2748,2016-10-10,10/12/2016 4:00:00 PM,0.0
2749,2016-10-10,10/12/2016 4:00:00 PM,0.0
2750,2016-10-10,10/12/2016 4:00:00 PM,0.0
2751,2016-10-10,10/12/2016 4:00:00 PM,0.0
2752,2016-10-10,10/12/2016 4:00:00 PM,0.0
2753,2016-10-10,10/12/2016 4:00:00 PM,0.0
2754,2016-10-10,10/12/2016 4:00:00 PM,0.0
2755,2016-10-10,10/12/2016 4:00:00 PM,0.0
2756,2016-10-10,10/12/2016 4:00:00 PM,0.0
2757,2016-10-04,10/10/2016 4:00:00 PM,0.0
2758,2016-10-04,10/10/2016 4:00:00 PM,0.0
2759,2016-10-04,10/10/2016 4:00:00 PM,0.0
2760,2016-10-04,10/10/2016 4:00:00 PM,0.0
2761,2016-10-04,10/10/2016 4:00:00 PM,0.0
2762,2016-10-04,10/10/2016 4:00:00 PM,0.0
2763,2016-10-04,10/10/2016 4:00:00 PM,0.0
2764,2016-10-04,10/10/2016 4:00:00 PM,0.0
2765,2016-10-10,10/12/2016 4:00:00 PM,0.0
2766,2016-10-10,10/12/2016 4:00:00 PM,0.0
2767,2016-10-10,10/12/2016 4:00:00 PM,0.0
2768,2016-10-10,10/12/2016 4:00:00 PM,0.0
2769,2016-10-10,10/12/2016 4:00:30 PM,0.0
2770,2016-10-10,10/12/2016 4:00:00 PM,0.0
2771,2016-10-10,10/12/2016 4:00:00 PM,0.0
2772,2016-10-10,10/12/2016 4:00:00 PM,0.0
2773,2016-10-10,10/12/2016 4:00:00 PM,0.0
2774,2016-10-10,10/12/2016 4:00:00 PM,0.0
2775,2016-10-10,10/12/2016 4:00:00 PM,0.0
2776,2016-10-10,10/12/2016 4:00:00 PM,0.0
2777,2016-10-10,10/12/2016 4:00:00 PM,0.0
2778,2016-10-10,10/12/2016 4:00:00 PM,0.0
2779,2016-10-10,10/12/2016 4:00:00 PM,0.0
2780,2016-10-10,10/12/2016 4:00:00 PM,0.0
2781,2016-10-10,10/12/2016 4:00:00 PM,0.0
2782,2016-10-10,10/12/2016 4:00:00 PM,0.0
2783,2016-10-10,10/12/2016 4:00:00 PM,0.0
2784,2016-10-10,10/12/2016 4:00:00 PM,0.0
2785,2016-10-10,10/12/2016 4:00:00 PM,0.0
2790,2016-10-04,10/10/2016 4:00:00 PM,0.0
2791,2016-10-04,10/10/2016 4:00:00 PM,0.0
2792,2016-10-04,10/10/2016 4:00:00 PM,0.0
2793,2016-10-04,10/10/2016 4:00:00 PM,0.0
2800,2016-10-10,10/12/2016 4:00:00 PM,0.0
2801,2016-10-10,10/12/2016 4:00:00 PM,0.0
2802,2016-10-10,10/12/2016 4:00:00 PM,0.0
2803,2016-10-10,10/12/2016 4:00:00 PM,0.0
2804,2016-10-10,10/12/2016 4:00:00 PM,0.0
2805,2016-10-10,10/12/2016 4:00:00 PM,0.0
2806,2016-10-10,10/12/2016 4:00:00 PM,0.0
2807,2016-10-10,10/12/2016 4:00:00 PM,0.0
2808,2016-10-10,10/12/2016 4:00:00 PM,0.0
2809,2016-10-10,10/12/2016 4:00:00 PM,0.0
2810,2016-10-10,10/12/2016 4:00:00 PM,0.0
2811,2016-10-10,10/12/2016 4:00:00 PM,0.0
2812,2016-10-10,10/12/2016 4:00:00 PM,0.0
2813,2016-10-10,10/12/2016 4:00:00 PM,0.0
2814,2016-10-10,10/12/2016 4:00:00 PM,0.0
